SDL30m,9117,000001,FT-S-H,1,21,,,
0001,0001,0,1,1,100.9,5.607,100.000,
0002,0002,0,1,2,89.0,4.915,100.692,
0003,0002,0,1,1,92.4,6.119,100.692,
0004,0003,0,1,2,96.7,-4.255,111.066,
0005,0003,0,1,1,105.0,-2.654,111.066,
0006,0004,0,1,2,118.5,4.575,103.837,
0007,0004,0,1,1,279.6,7.494,103.837,
0008,0005,0,1,2,276.5,4.615,106.716,
0009,0005,0,1,1,197.9,5.732,106.716,
0010,0006,0,1,2,204.3,3.015,109.433,
0011,0006,0,0,1,201.2,3.088,0.000,
0012,0007,0,0,2,201.1,5.808,-2.720,
0013,0007,0,0,1,269.5,4.412,0.000,
0014,0008,0,0,2,286.8,7.303,-2.891,
0015,0008,0,0,1,115.5,4.701,0.000,
0016,0009,0,0,2,107.9,-2.525,7.226,
0017,0009,0,0,1,91.3,-4.343,0.000,
0018,0010,0,0,2,97.5,6.036,-10.379,
0019,0010,0,0,1,83.7,4.807,0.000,
0020,0011,0,0,2,105.5,5.504,-0.697,
